Player Name,List Year,List Pos,Draft Round
Marlon Humphrey,2021,38,1
Kyler Murray,2021,39,1
Bradley Chubb,2021,40,1
Jaire Alexander,2021,41,1
Trent Williams,2021,42,1
Lavonte David,2021,43,2
Christian McCaffrey,2021,44,1
Justin Simmons,2021,45,3
Cameron Jordan,2021,46,1
Stephon Gilmore,2021,47,1
Mike Evans,2021,48,1
J.C. Jackson,2021,49,0
George Kittle,2021,50,5
Za'Darius Smith,2021,51,4
Minkah Fitzpatrick,2021,52,1
Justin Jefferson,2021,53,1
Grady Jarrett,2021,54,5
Keenan Allen,2021,55,3
Justin Herbert,2021,56,1
Cameron Heyward,2021,57,1
Tyrann Mathieu,2021,58,3
Jason Pierre-Paul,2021,59,1
Corey Linsley,2021,60,5
Chase Young,2021,61,1
A.J. Brown,2021,62,2
Fletcher Cox,2021,63,1
Demario Davis,2021,64,3
Calvin Ridley,2021,65,1
J.J. Watt,2021,66,1
K.J. Wright,2021,67,4
Josh Jacobs,2021,68,1
Ryan Kelly,2021,69,1
Eric Kendricks,2021,70,2
Baker Mayfield,2021,71,1
Michael Thomas,2021,72,2
Trey Hendrickson,2021,73,3
James Bradberry,2021,74,2
Laremy Tunsil,2021,75,1
Tyler Lockett,2021,76,3
Quandre Diggs,2021,77,6
Jeffery Simmons,2021,78,1
Terron Armstead,2021,79,3
Adam Thielen,2021,80,0
Chris Godwin,2021,81,3
Garett Bolles,2021,82,1
Ryan Tannehill,2021,83,1
Leonard Williams,2021,84,1
Zack Martin,2021,85,1
Marshon Lattimore,2021,86,1
Allen Robinson,2021,87,2
Shaquil Barrett,2021,88,0
Tristan Wirfs,2021,89,1
Jessie Bates III,2021,90,2
Corey Davis,2021,91,1
Jason Kelce,2021,92,6
T.J. Hockenson,2021,93,1
Jarvis Landry,2021,94,2
Tre'Davious White,2021,95,1
Cole Beasley,2021,96,0
Kyle Juszczyk,2021,97,4
Brandon Scherff,2021,98,1
Brandon Graham,2021,99,1
James Robinson,2021,100,0
